match_id,placement,level,players_eliminated,time_eliminated,total_damage_to_players,augments,traits,units
EUW1_7313711054,4,9,1,1907.838134765625,113,[],"['TFT13_Ambassador', 'TFT13_Ambusher', 'TFT13_Hoverboard', 'TFT13_Scrap', 'TFT13_Sniper', 'TFT13_Squad', 'TFT13_Watcher']","[{'character_id': 'TFT13_Blue', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Zeri', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Camille', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Gremlin', 'tier': 3, 'items': []}, {'character_id': 'TFT13_FlyGuy', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Garen', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Ekko', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Jinx', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Caitlyn', 'tier': 1, 'items': []}]"
EUW1_7313711054,8,6,0,1433.9598388671875,25,[],"['TFT13_Hextech', 'TFT13_Hoverboard', 'TFT13_Sniper', 'TFT13_Watcher']","[{'character_id': 'TFT13_Amumu', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Vladimir', 'tier': 3, 'items': []}, {'character_id': 'TFT13_Prime', 'tier': 3, 'items': []}, {'character_id': 'TFT13_Zeri', 'tier': 2, 'items': []}, {'character_id': 'TFT13_KogMaw', 'tier': 2, 'items': []}, {'character_id': 'TFT13_FlyGuy', 'tier': 2, 'items': []}]"
EUW1_7313711054,5,8,1,1814.8388671875,95,[],"['TFT13_Ambassador', 'TFT13_Family', 'TFT13_Pugilist', 'TFT13_Scrap', 'TFT13_Warband', 'TFT13_Watcher']","[{'character_id': 'TFT13_Darius', 'tier': 3, 'items': []}, {'character_id': 'TFT13_Draven', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Blue', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Red', 'tier': 3, 'items': []}, {'character_id': 'TFT13_Prime', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Gangplank', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Ambessa', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Vi', 'tier': 2, 'items': []}]"
EUW1_7313711054,2,8,1,2110.233154296875,130,[],"['TFT13_Ambassador', 'TFT13_BloodHunter', 'TFT13_Challenger', 'TFT13_Hextech', 'TFT13_Invoker', 'TFT13_Squad', 'TFT13_Titan', 'TFT13_Warband']","[{'character_id': 'TFT13_Nocturne', 'tier': 3, 'items': []}, {'character_id': 'TFT13_Rell', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Akali', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Beardy', 'tier': 3, 'items': []}, {'character_id': 'TFT13_TwistedFate', 'tier': 3, 'items': []}, {'character_id': 'TFT13_Ambessa', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Malzahar', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Warwick', 'tier': 1, 'items': []}]"
EUW1_7313711054,6,9,1,1809.58203125,98,[],"['TFT13_Bruiser', 'TFT13_Experiment', 'TFT13_FormSwapper', 'TFT13_MissMageTrait', 'TFT13_Pugilist', 'TFT13_Sniper']","[{'character_id': 'TFT13_Zyra', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Urgot', 'tier': 2, 'items': []}, {'character_id': 'TFT13_NunuWillump', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Gangplank', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Elise', 'tier': 2, 'items': []}, {'character_id': 'TFT13_DrMundo', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Twitch', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Caitlyn', 'tier': 1, 'items': []}, {'character_id': 'TFT13_MissMage', 'tier': 1, 'items': []}]"
EUW1_7313711054,3,9,0,2032.4808349609375,101,[],"['TFT13_Bruiser', 'TFT13_Cabal', 'TFT13_Experiment', 'TFT13_FormSwapper', 'TFT13_Infused', 'TFT13_Pugilist', 'TFT13_Sniper', 'TFT13_Squad']","[{'character_id': 'TFT13_Urgot', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Cassiopeia', 'tier': 2, 'items': []}, {'character_id': 'TFT13_NunuWillump', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Elise', 'tier': 2, 'items': []}, {'character_id': 'TFT13_DrMundo', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Twitch', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Vi', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Jayce', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Caitlyn', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Sion', 'tier': 1, 'items': []}, {'character_id': 'TFT13_JayceSummon', 'tier': 1, 'items': []}]"
EUW1_7313711054,1,9,3,2110.233154296875,170,[],"['TFT13_Academy', 'TFT13_JunkerKing', 'TFT13_Martialist', 'TFT13_Rebel', 'TFT13_Scrap', 'TFT13_Titan']","[{'character_id': 'TFT13_Lux', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Irelia', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Leona', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Ezreal', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Heimerdinger', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Illaoi', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Corki', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Jayce', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Rumble', 'tier': 2, 'items': []}, {'character_id': 'TFT13_JayceSummon', 'tier': 2, 'items': []}]"
EUW1_7313711054,7,8,0,1592.0853271484375,60,[],"['TFT13_Ambassador', 'TFT13_FormSwapper', 'TFT13_Sorcerer', 'TFT13_Warband', 'TFT13_Watcher']","[{'character_id': 'TFT13_Vladimir', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Tristana', 'tier': 1, 'items': []}, {'character_id': 'tft13_swain', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Nami', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Elise', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Ambessa', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Garen', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Zoe', 'tier': 1, 'items': []}]"
EUW1_7312040274,5,8,0,1696.8017578125,86,[],[],"[{'character_id': 'TFT13_Heimerdinger', 'tier': 2, 'items': []}, {'character_id': 'tft13_elise', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Twitch', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Twitch', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Vi', 'tier': 1, 'items': []}, {'character_id': 'TFT13_LeBlanc', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Mordekaiser', 'tier': 1, 'items': []}, {'character_id': 'tft13_jinx', 'tier': 1, 'items': []}]"
EUW1_7312040274,6,9,0,1548.184326171875,51,[],"['TFT13_Ambassador', 'TFT13_Ambusher', 'TFT13_FormSwapper', 'TFT13_JunkerKing', 'TFT13_Martialist', 'TFT13_Scrap', 'TFT13_Titan']","[{'character_id': 'TFT13_Blue', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Tristana', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Gangplank', 'tier': 1, 'items': []}, {'character_id': 'tft13_elise', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Ekko', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Illaoi', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Corki', 'tier': 2, 'items': []}, {'character_id': 'TFT13_Rumble', 'tier': 1, 'items': []}, {'character_id': 'TFT13_Rumble', 'tier': 1, 'items': []}]"
